;userName;content;score;at
118;Nendra Irawan;Mudah dipahami dan fiturnya lebih lengkap;5;2021-05-08 12.14.15
119;Septilia Anik;suka.. buat yg baru belajar investasi;5;2021-04-26 2.08.04
120;Andika RA;Ingin skli nabung dri sd disini tpi syg mesti umur 17 huhu ke buru saya jajanin '-';5;2021-03-29 8.25.39
121;Ahmad Kaitam;terimakasih bibit. butuh kesabaran juga????;5;2021-03-30 3.03.50
122;Haerul Salam;sangat mudah untuk melakukan investasi.;5;2021-06-04 0.01.37
123;Syakir Rohmat;aplikasi yang bagus untuk investor pemula;4;2021-03-26 22.45.23
124;Dodi Kelapa channel;Di coba dulu...jika berkah lanjutkan;3;2021-04-08 7.16.55
125;Firgiawan Luis;Masukin kode ini 14fbr;5;2021-05-22 1.33.20
126;Murdani Dany;Baru belajar semoga membantu;5;2021-05-16 7.18.34
127;Muhamad Fahrul;Kalau untuk pemula ini cocok banget si;5;2021-04-13 13.15.24
128;Rainaldi Efendi;Gak bisa main.. Gak apalah nabung reksadana;5;2021-04-15 13.32.33
129;Mawaddah Nafisya;Semoga bibit bisa semakin maju lagi.;5;2021-04-22 11.51.49
130;Yadi Coi;Ku cobak dulu kalau mantap ku kasi bintang 5;1;2021-05-16 16.25.21
131;Putra Towawo;Apk judi....dsr Apk pengemis dana segar;1;2021-06-03 4.51.41
132;Mrpull;Cukup membantu dlm berinvestasi,demi massa dpn;1;2021-05-01 13.22.24
133;Dwi Prasetya;sangat membantu aplikasi ini, mantap;5;2021-04-07 13.34.05
134;Fiktor Adi putra;Aplikasi yang bagus buat investor pemula??;5;2021-05-02 9.29.33
135;junie Phoenix;gak punya rekening jd nda bisa mulai make;3;2021-03-28 10.46.22
136;GMchannel 12;Nunggu kode Verifikasinya lama banget di percepat dong;3;2021-05-17 1.36.08
137;Pondok Hidroponik;4 bintang dulu, soalny masih pemula;4;2021-04-06 2.11.58
138;Muhammad Elang Prakoso;Aplikasi yg oke paman. Ref: Nxr13;5;2021-04-22 13.03.04
139;DARIUS HANSHIA;Aplikasi reksadana yang user friendly;5;2021-03-29 11.58.22
140;Hanik Nurani;Membantu banget buat belajar investasi;5;2021-04-03 2.59.46
141;Selvia Putri;Kenapa pas mau beli aplikasinya berhenti terus anjr;3;2021-04-30 22.11.41
142;Isro' Kurniawan Rahakbauw;Bagus, secure dan bisa diandalkan.;5;2021-04-03 4.58.00
143;Suriyadi Yandi;Bermanfaat dan fiturnya mudah dipahami;5;2021-04-27 4.12.50
144;aura khalillah;cari cat cari propan;5;2021-06-04 13.31.44
145;Bagus Anugrah;tambahin pembayaran lewat e-wallet DANA;5;2021-04-10 2.00.38
146;Adhi Nugroho;sangat membantu untuk investor pemula;5;2021-04-27 11.47.41
147;Dzaki Raka;Semoga terus berkembang menjadi lebih baik;4;2021-04-02 11.34.19
148;dwi nanda lesmana;Penjualan memerlukan waktu terlalu lama;2;2021-05-04 1.41.53
149;Mus Tofa;mntep bgt nih aplikasi;4;2021-06-03 2.21.28
150;Iman Hermawaan;app bagus buat komitmen dalam menabung;5;2021-03-29 17.40.15
151;Diki Pirmansyah;sangat membantu untuk investor pemula??;5;2021-04-16 17.18.41
152;Jumri Ardianto;Penarikan nya LAMAAAA BANGETTT.. sampai berhari2.awas yah hati2 aplikasi ini lama penarikannya.;5;2021-04-24 2.46.44
153;Yadi Julio Chesar;Tolol wkwkw kaga mau kebuka ??;1;2021-06-06 13.24.07
154;Nahri Fauzan;cocok buat yg mulai belajar investasi;5;2021-04-09 5.11.35
155;Mutiara Indah;Pengembalian uang nya sunggu mengecewakan;5;2021-05-01 5.00.50
156;Andika Dharmawan;Berbagi itu indah Referal (andika86);2;2021-05-03 12.41.44
157;Xz Chyo;Saya berharap di adakan Top Up via Dana;4;2021-05-06 13.07.08
158;umar akor;pengen bermanfaat untuk orang tua.;5;2021-04-07 14.34.15
159;Faisal Aji Pradana;kenapa susah registrasi nya gagal mulu;4;2021-04-23 2.35.04
160;Bastian babas;aplikasi yg keren dan bagus;5;2021-05-19 0.59.42
161;Faizal D. Novriyanto;Aplikasi yang sangat membantu, thanks;4;2021-04-15 5.11.55
162;Fahry 3664;Kenapa no.rek tujuan saya tidak diketahui tolong dibantu min;1;2021-04-23 16.10.47
163;Mas indri;investasi biar dapat rejeki.;5;2021-05-11 14.21.01
